Project ID,Organisation ID - (Value),Organisation Role Category - (Value),Other Role Description - (Value),Sources,Notes
INDIGO-POJ-0038,INDIGO-ORG-0534,Other,Transaction coordinator,,
INDIGO-POJ-0039,INDIGO-ORG-0219,Performance management,,,
INDIGO-POJ-0040,INDIGO-ORG-0776,,,,
INDIGO-POJ-0041,INDIGO-ORG-0776,,,,
INDIGO-POJ-0042,INDIGO-ORG-0778,Performance management,,,
INDIGO-POJ-0042,INDIGO-ORG-0802,Performance management,,,
INDIGO-POJ-0043,INDIGO-ORG-0979,Performance management,,,
INDIGO-POJ-0043,INDIGO-ORG-0279,,,,
INDIGO-POJ-0043,INDIGO-ORG-0982,,,,
INDIGO-POJ-0045,INDIGO-ORG-0174,,,,
INDIGO-POJ-0045,INDIGO-ORG-0175,,,,
INDIGO-POJ-0046,INDIGO-ORG-0867,,,,
INDIGO-POJ-0046,INDIGO-ORG-0868,,,,
INDIGO-POJ-0047,INDIGO-ORG-0445,,,,
INDIGO-POJ-0048,INDIGO-ORG-0684,,,,
INDIGO-POJ-0048,INDIGO-ORG-1042,,,,
INDIGO-POJ-0049,INDIGO-ORG-0540,,,,
INDIGO-POJ-0050,INDIGO-ORG-0722,,,,
INDIGO-POJ-0051,INDIGO-ORG-0684,,,,
INDIGO-POJ-0051,INDIGO-ORG-1013,Other,Financial knowledge partner,,
INDIGO-POJ-0051,INDIGO-ORG-1242,Other,Financial knowledge partner,,
INDIGO-POJ-0052,INDIGO-ORG-0684,,,,
INDIGO-POJ-0053,INDIGO-ORG-0893,,,,
INDIGO-POJ-0055,INDIGO-ORG-0580,Performance management,,,
INDIGO-POJ-0055,INDIGO-ORG-0581,,,,
INDIGO-POJ-0056,INDIGO-ORG-0150,,,,The Social Bonds Pilot team (within government) has helped APMW explore and broker potential investment.
INDIGO-POJ-0057,INDIGO-ORG-0244,Performance management,,,
INDIGO-POJ-0057,INDIGO-ORG-0245,Performance management,,,
INDIGO-POJ-0057,INDIGO-ORG-0246,,,,
INDIGO-POJ-0057,INDIGO-ORG-0042,,,,design & structuring intermediary
INDIGO-POJ-0058,INDIGO-ORG-0392,Performance management,,,
INDIGO-POJ-0058,INDIGO-ORG-0063,,,,
INDIGO-POJ-0058,INDIGO-ORG-0121,Other,,,Representatives of EBRC
INDIGO-POJ-0059,INDIGO-ORG-0719,,,,
INDIGO-POJ-0060,INDIGO-ORG-0355,,,,
INDIGO-POJ-0060,INDIGO-ORG-1302,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Institute for Social Security validated this project.,,
INDIGO-POJ-0061,INDIGO-ORG-0355,,,,
INDIGO-POJ-0061,INDIGO-ORG-0932,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portuguese Institute for Employment and Vocational Training validated this project.,,
INDIGO-POJ-0062,INDIGO-ORG-0999,Performance management,,,
INDIGO-POJ-0062,INDIGO-ORG-1000,,,,
INDIGO-POJ-0062,INDIGO-ORG-0355,Performance management,Performance management and project monitoring,,
INDIGO-POJ-0062,INDIGO-ORG-0996,Other,TESE (responsible for the implementation of the project in the field) ,,
INDIGO-POJ-0062,INDIGO-ORG-0932,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portuguese Institute for Employment and Vocational Training validated this project.,,
INDIGO-POJ-0063,INDIGO-ORG-0355,,,,
INDIGO-POJ-0063,INDIGO-ORG-1016,Other,Independent evaluator,,
INDIGO-POJ-0064,INDIGO-ORG-0450,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portuguese General Directorate for for Reintegration and Prison Services validated this project.,,
INDIGO-POJ-0065,INDIGO-ORG-0355,Performance management,,,
INDIGO-POJ-0065,INDIGO-ORG-0898,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portuguese Central Administration for the Health System (ACSS) validated this project.,,
INDIGO-POJ-0066,INDIGO-ORG-1388,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portuguese General Directorate for Education validated this project.,,
INDIGO-POJ-0067,INDIGO-ORG-1388,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Portuguese General Directorate for Education validated this project.,,
