Project ID,Id,Organisation ID - (Value),Organisation Role Category - (Value),Investment Commitment - Currency - (Value),Investment Commitment - Amount - Min - (Value),Investment Commitment - Amount - Exact - (Value),Investment Commitment - Amount - Max - (Value),Investment Commitment - Amount USD - Min - (Value),Investment Commitment - Amount USD - Exact - (Value),Investment Commitment - Amount USD - Max - (Value),Maximum Potential loss - (Value),Maximum Potential Return Type - (Value),Maximum Potential Return - (Value),Investor Repayment - (Value),Investment Type - (Value),Sources,Notes
INDIGO-POJ-0025,investment3,INDIGO-ORG-0389,,,,,,,,,,,,,,,
INDIGO-POJ-0025,investment4,INDIGO-ORG-0390,,,,,,,,,,,,,,,
INDIGO-POJ-0026,investment1,INDIGO-ORG-0018,,,,,,,,,,,,,,,
INDIGO-POJ-0026,investment2,INDIGO-ORG-0340,,,,,,,,,,,,,,,
INDIGO-POJ-0027,investment1,INDIGO-ORG-0022,,,,,,,,,,,,,,,
INDIGO-POJ-0027,investment2,INDIGO-ORG-0023,,,,,,,,,,,,,,,
INDIGO-POJ-0027,investment3,INDIGO-ORG-0024,,,,,,,,,,,,,,,
INDIGO-POJ-0027,investment4,INDIGO-ORG-0025,,,,,,,,,,,,,,,
INDIGO-POJ-0028,investment1,INDIGO-ORG-0018,,,,,,,,,,,,,,,
INDIGO-POJ-0028,investment2,INDIGO-ORG-0023,,,,,,,,,,,,,,,
INDIGO-POJ-0028,investment3,INDIGO-ORG-0487,,,,,,,,,,,,,,,
INDIGO-POJ-0029,investment1,INDIGO-ORG-0023,,,,,,,,,,,,,,,
INDIGO-POJ-0029,investment2,INDIGO-ORG-0018,,,,,,,,,,,,,,,
INDIGO-POJ-0029,investment3,INDIGO-ORG-0710,,,,,,,,,,,,,,,
INDIGO-POJ-0029,investment4,INDIGO-ORG-0025,,,,,,,,,,,,,,,
INDIGO-POJ-0030,investment1,INDIGO-ORG-0090,,EUR,,1000000,,,1106151.707,,,,,,,,
INDIGO-POJ-0031,investment1,INDIGO-ORG-0018,,,,,,,,,,,,,,,
INDIGO-POJ-0031,investment2,INDIGO-ORG-0023,,,,,,,,,,,,,,,
INDIGO-POJ-0031,investment3,INDIGO-ORG-0240,,,,,,,,,,,,,,,
INDIGO-POJ-0031,investment4,INDIGO-ORG-0241,,,,,,,,,,,,,,,
INDIGO-POJ-0031,investment5,INDIGO-ORG-0242,,,,,,,,,,,,,,,
INDIGO-POJ-0032,investment1,INDIGO-ORG-1010,,,,,,,,,,,,,,,
INDIGO-POJ-0033,investment1,INDIGO-ORG-0741,,,,,,,,,,,,,,,
INDIGO-POJ-0033,investment2,INDIGO-ORG-0742,,,,,,,,,,,,,,,
INDIGO-POJ-0033,investment3,INDIGO-ORG-0743,,,,,,,,,,,,,,,
INDIGO-POJ-0033,investment4,INDIGO-ORG-0744,,,,,,,,,,,,,,,
